GAME RV,[id],[Time],[X],[Y]
0,1668902619234,0.08514700084924698,-0.7345340251922607,-0.6688799858093262
1,1668902619249,0.06975500285625458,-0.7373679876327515,-0.668258011341095
2,1668902619257,0.06975500285625458,-0.7373679876327515,-0.668258011341095
3,1668902619269,0.05390100181102753,-0.7383790016174316,-0.6691820025444031
4,1668902619278,0.05390100181102753,-0.7383790016174316,-0.6691820025444031
5,1668902619289,0.04651999846100807,-0.7382829785346985,-0.6701250076293945
6,1668902619302,0.0328730009496212,-0.7377430200576782,-0.6721829771995544
7,1668902619313,0.026559999212622643,-0.7375389933586121,-0.6730480194091797
8,1668902619337,0.014890000224113464,-0.7380070090293884,-0.6735039949417114
9,1668902619350,0.003783999942243099,-0.7383549809455872,-0.6737689971923828
10,1668902619362,-8.570000063627958E-4,-0.7386320233345032,-0.6736519932746887
11,1668902619373,-0.0061980001628398895,-0.7389630079269409,-0.6734300255775452
12,1668902619389,-0.018817000091075897,-0.7389940023422241,-0.6734030246734619
13,1668902619397,-0.018817000091075897,-0.7389940023422241,-0.6734030246734619
14,1668902619421,0.041680000722408295,0.7348390221595764,0.6769329905509949
15,1668902619431,0.050018999725580215,0.732804000377655,0.6785190105438232
16,1668902619443,0.05791100114583969,0.7308560013771057,0.679902970790863
17,1668902619469,0.07934699952602386,0.7258710265159607,0.6825349926948547
18,1668902619481,0.08528900146484375,0.7245309948921204,0.6830319762229919
19,1668902619495,0.0921109989285469,0.7230510115623474,0.6834179759025574
20,1668902619506,0.09794999659061432,0.7218449711799622,0.683650016784668
21,1668902619620,0.15805800259113312,0.705560028553009,0.6862170100212097
22,1668902619629,0.15994299948215485,0.7045050263404846,0.6866970062255859
23,1668902619645,0.15994299948215485,0.7045050263404846,0.6866970062255859
24,1668902619654,0.15994299948215485,0.7045050263404846,0.6866970062255859
25,1668902619664,0.15994299948215485,0.7045050263404846,0.6866970062255859
26,1668902619677,0.16089199483394623,0.7028220295906067,0.6879810094833374
27,1668902619793,0.12264399975538254,0.7243040204048157,0.6754019856452942
28,1668902619925,0.06123799830675125,0.7333620190620422,0.6762290000915527
29,1668902619915,0.0649000033736229,0.7337679862976074,0.6752600073814392
30,1668902619981,0.037216998636722565,0.731249988079071,0.681052029132843
31,1668902619992,0.03338700160384178,0.7308589816093445,0.6817029714584351
32,1668902620005,0.03053399920463562,0.7304329872131348,0.6822999715805054
33,1668902620015,-0.027307000011205673,-0.7298219799995422,-0.683085024356842
34,1668902620030,-0.019511999562382698,-0.7274559736251831,-0.6858599781990051
35,1668902620039,-0.014282000251114368,-0.7258340120315552,-0.6877070069313049
36,1668902620053,-0.00914900004863739,-0.724357008934021,-0.6893540024757385
37,1668902620061,-0.004035999998450279,-0.7228479981422424,-0.6909890174865723
38,1668902620075,0.0013719999697059393,-0.7212790250778198,-0.692641019821167
39,1668902620088,-0.011110999621450901,0.7184739708900452,0.6954600214958191
40,1668902620095,-0.011110999621450901,0.7184739708900452,0.6954600214958191
41,1668902620113,-0.019074000418186188,0.7162669897079468,0.6975229978561401
42,1668902620120,-0.022353999316692352,0.7153289914131165,0.6983489990234375
43,1668902620128,-0.02528499998152256,0.7144250273704529,0.699118971824646
44,1668902620137,-0.027821000665426254,0.7136669754981995,0.6997309923171997
45,1668902620144,-0.027821000665426254,0.7136669754981995,0.6997309923171997
46,1668902620155,-0.03021099977195263,0.7128990292549133,0.7003340125083923
47,1668902620169,-0.03448199853301048,0.7115060091018677,0.7013670206069946
48,1668902620180,-0.036400001496076584,0.7108610272407532,0.7018229961395264
49,1668902620195,-0.03810599818825722,0.7100949883460999,0.7023950219154358
50,1668902620202,-0.039802998304367065,0.7094320058822632,0.7028639912605286
51,1668902620212,-0.041308000683784485,0.7085899710655212,0.7035080194473267
52,1668902620221,-0.04264200106263161,0.7077850103378296,0.7041249871253967
53,1668902620230,-0.04370199888944626,0.7068859934806824,0.7048460245132446
54,1668902620240,-0.04455700144171715,0.7059659957885742,0.7055969834327698
55,1668902620248,-0.045037999749183655,0.7048450112342834,0.7065629959106445
56,1668902620256,-0.045037999749183655,0.7048450112342834,0.7065629959106445
57,1668902620265,-0.04557200148701668,0.7040809988975525,0.7071849703788757
58,1668902620274,-0.04570100083947182,0.7031130194664001,0.7080249786376953
59,1668902620284,-0.04559599980711937,0.7022190093994141,0.7088019847869873
60,1668902620293,-0.045113999396562576,0.7013130187988281,0.7096089720726013
61,1668902620303,-0.04487299919128418,0.700655996799469,0.7101609706878662
62,1668902620313,-0.04427200183272362,0.6998720169067383,0.7108539938926697
63,1668902620323,-0.04378100112080574,0.6993420124053955,0.7112950086593628
64,1668902620332,-0.04269599914550781,0.6988120079040527,0.7117670178413391
65,1668902620342,-0.041335999965667725,0.6983209848403931,0.7122189998626709
66,1668902620351,-0.039760999381542206,0.6978210210800171,0.7127040028572083
67,1668902620360,-0.03795899823307991,0.6973490118980408,0.7131789922714233
68,1668902620370,-0.035599999129772186,0.6968100070953369,0.7137479782104492
69,1668902620381,-0.03362099826335907,0.6964629888534546,0.7141209840774536
70,1668902620392,-0.031122999265789986,0.6960139870643616,0.7146090269088745
71,1668902620401,-0.029032999649643898,0.6957910060882568,0.7148650288581848
